Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2022-10-11,2022-10-11,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,21,13.45,CAD,-282.45,CAD
2022-10-11,2022-10-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,14,22.5,CAD,-315,CAD
2022-10-11,2022-10-11,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,3,45.99,CAD,-137.97,CAD
2022-10-11,2022-10-11,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,7,25.8,CAD,-180.61,CAD
2022-10-11,2022-10-11,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,5,38.37,CAD,-191.84,CAD
2022-10-07,2022-10-07,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-10-05,2022-10-05,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,922,0,,193.62,CAD
2022-10-05,2022-10-05,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,748,0,,194.48,CAD
2022-10-05,2022-10-05,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0,,21.4,CAD
2022-10-05,2022-10-05,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,769,0,,176.87,CAD
2022-10-05,2022-10-05,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1765,0,,317.7,CAD
2022-10-05,2022-10-05,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7124,0,,284.96,CAD
2022-09-29,2022-09-29,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-09-23,2022-09-23,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-09-16,2022-09-16,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-09-09,2022-09-09,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-09-07,2022-09-07,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,20,13.65,CAD,-272.99,CAD
2022-09-02,2022-09-02,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-09-02,2022-09-02,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7104,0,,284.16,CAD
2022-08-26,2022-08-26,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-08-19,2022-08-19,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-08-12,2022-08-12,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-08-09,2022-08-09,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,20,13.94,CAD,-278.8,CAD
2022-08-05,2022-08-05,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-08-03,2022-08-03,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7084,0,,283.36,CAD
2022-07-29,2022-07-29,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-07-22,2022-07-22,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-07-15,2022-07-15,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-07-12,2022-07-12,Reinvestment,ISHARES U S SMALL CAP INDEX ET,XSU,1,34.01,CAD,-34.01,CAD
2022-07-12,2022-07-12,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,20,13.75,CAD,-275,CAD
2022-07-12,2022-07-12,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,7,25,CAD,-174.97,CAD
2022-07-12,2022-07-12,Reinvestment,BMO LOW VOLATILITY CDN EQTY ET,ZLB,5,38.35,CAD,-191.73,CAD
2022-07-11,2022-07-11,Reinvestment,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,12,22.4,CAD,-268.83,CAD
2022-07-11,2022-07-11,Reinvestment,BMO LOW VOLATILITY US EQTY ETF,ZLU,3,45.71,CAD,-137.14,CAD
2022-07-08,2022-07-08,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-07-05,2022-07-05,Interest,BMO LOW VOLATILITY CDN EQTY ET,ZLB,743,0,,193.18,CAD
2022-07-05,2022-07-05,Interest,BMO MSCI EAFE HEDGED CAD INDEX,ZDM,1753,0,,280.48,CAD
2022-07-05,2022-07-05,Interest,BMO LOW VOLATILITY US EQTY ETF,ZLU,766,0,,168.52,CAD
2022-07-05,2022-07-05,Interest,BMO S&P 500 HEDGED TO CAD INDE,ZUE,107,0,,21.4,CAD
2022-07-05,2022-07-05,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,7064,0,,282.56,CAD
2022-07-05,2022-07-05,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,915,0,,192.15,CAD
2022-07-04,2022-07-04,Contribution,CONTRIBUTION,,0,0,,50,CAD
2022-06-30,2022-06-30,Interest,ISHARES U S SMALL CAP INDEX ET,XSU,412,0,,60.98,CAD
2022-06-24,2022-06-24,Contribution,CONTRIBUTION,,0,0,,50,CAD
