Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Price Currency,Total Amount,Total Currency
2024-01-09,2024-01-09,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,1,0, ,-13.75,CAD
2024-01-09,2024-01-09,Reinvestment,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,3,0, ,-83.45,CAD
2024-01-03,2024-01-03,Interest,BMO S&P/TSX CAPPED COMPOSITE I,ZCN,404,0, ,92.92,CAD
2024-01-03,2024-01-03,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,554,0, ,22.16,CAD
2023-12-08,2023-12-08,Reinvestment,BMO AGGREGATE BD INDEX ETF,ZAG,1,0, ,-13.51,CAD
2023-12-04,2023-12-04,Interest,BMO AGGREGATE BD INDEX ETF,ZAG,553,0, ,22.12,CAD
